ts,price_y,volume_y,price_x,volume_x,spread,zscore,corr
16-12-2025 19:51,86947.12714,0.50472,2928.506,3.7048,3166.632295,-1.743618495,0.891843803
16-12-2025 19:51,86947.12556,0.3562,2928.552105,213.5224,3165.3117,-1.774254706,0.885553621
16-12-2025 19:51,86947.12333,0.34684,2928.65122,35.492,3162.473957,-1.936878234,0.873296065
16-12-2025 19:51,86947.12114,0.32,2928.81102,1.9452,3157.900085,-2.297915261,0.875334384
16-12-2025 19:51,86947.12091,0.3346,2928.59,0.0168,3164.222938,-1.496111712,0.889033209
16-12-2025 19:51,86947.12227,0.6402,2928.609149,1.9728,3163.676477,-1.489953101,0.905662831
16-12-2025 19:51,86947.12125,0.3682,2928.8,0.0152,3158.21547,-1.954796077,0.905962116
16-12-2025 19:51,86947.12048,0.92672,2928.8,24.22,3158.214704,-1.806296871,0.907321407
16-12-2025 19:51,86947.86239,0.71704,2928.803967,11.2248,3158.843119,-1.613687768,0.908758253
16-12-2025 19:51,86952.37333,0.33196,2928.880941,4.7484,3161.151939,-1.287318208,0.911378015
16-12-2025 19:51,86952.37667,0.3202,2929.006905,1.869,3157.551629,-1.553634473,0.911456091
16-12-2025 19:51,86952.374,0.3292,2929.14274,15.0828,3153.662893,-1.802522287,0.905793518
16-12-2025 19:51,86952.37833,0.83192,2929.34,0.0693,3148.023903,-2.127998763,0.888510588
16-12-2025 19:51,86952.37333,0.32188,2929.418864,3.3954,3145.762723,-2.10781294,0.864738103
16-12-2025 19:51,86952.37625,0.39892,2929.65,0.051,3139.153149,-2.369600505,0.825208216
16-12-2025 19:51,86952.37941,0.3204,2929.65,2.2527,3139.156311,-2.133856483,0.785831617
16-12-2025 19:51,86953.94935,0.72692,2929.750211,3.0171,3137.859343,-2.024007525,0.742062381
16-12-2025 19:51,86956.005,0.44,2929.99,0.0711,3133.054971,-2.131813527,0.68699835
16-12-2025 19:51,86956.00234,0.32,2929.897365,1.9137,3135.702477,-1.810833802,0.646481296
16-12-2025 19:52,86954.03319,1.96744,2929.68,3.051,3139.951834,-1.446349226,0.61653042
16-12-2025 19:52,86952.35516,1.03892,2929.605747,23.3517,3140.398077,-1.336530703,0.586891169
16-12-2025 19:52,86952.3516,0.24144,2929.37,1.7826,3147.138911,-0.862808873,0.568623938
16-12-2025 19:52,86940.70766,2.40252,2929.322079,25.5873,3136.865917,-1.454885076,0.563106459
16-12-2025 19:52,86931.22161,0.376,2929.541791,8.376,3121.094215,-2.255269537,0.490246336
16-12-2025 19:52,86933.51202,0.54732,2929.869885,2.2542,3113.998309,-2.387024244,0.344469201
16-12-2025 19:52,86929.09886,0.51324,2929.62,1.8471,3116.734019,-2.051348501,0.283178293
16-12-2025 19:52,86922.17603,3.94512,2929.47254,10.3791,3114.029827,-2.03735984,0.258282057
16-12-2025 19:52,86914.93286,0.24,2929.223333,0.0402,3113.916098,-1.887092874,0.232171167
16-12-2025 19:52,86914.935,0.74445,2929.22,0.0237,3114.013603,-1.738145346,0.148282465
16-12-2025 19:52,86914.93941,0.24,2929.224805,8.5743,3113.880545,-1.619467184,0.030539098
16-12-2025 19:52,86914.93065,0.24,2929.22,29.9094,3114.009248,-1.507457148,-0.091752589
